"nNames","P38","P40","P42","P43","P44","P46","P48","P49","P51","P57","P58","P140","P154","P155","P156","P157","P158","P160","P162","P246","P248","P264","P266","P372","P492","P596","P609","P633","P823","P826","P827","P830","P831","P842","P844","P846","P847","P850","P851","P852","P853","P855","P858","P859","P861","P866","P871","P1044","P1045"
" J74",0,0,0.49,0,0,0,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.49,0.49,0,0,0.49,0.49
" J76",0,0,0.49,0,0,0,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.49,0.49,0.49,0,0,0,0.49,0.49
" J77",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5
" J84",0.03,0.12,0,0,0.37,0,0,0,0,0.34,0.15,0,0.37,0.12,0.03,0,0,0,0.34,0.34,0.36,0,0.03,-0.12,0.03,0.05,0.08,0,0,0,0,0,0,0.04,0.07,0.07,0.07,0.05,0.03,0.12,0.49,0,0,0,0,0,0,0.49,0.49
" J85",0.03,0.11,0,0,0.37,0,0,0,0,0.11,0.11,0,0.37,0.11,0.01,0,0,0,0.38,0.37,0.37,0,0.01,-0.11,0.01,0.05,0.08,0,0,0,0,0,0,0.04,0.06,0.07,0.07,0.05,0.03,0.11,0.48,0,0,0,0,0,0,0.48,0.48
" J86",0.04,0.15,0,0,0.34,0,0,0,0,0.13,0.13,0,0.34,0.15,0.21,0,0,0,0.13,0.13,0.34,0,0.21,-0.15,0.21,0.07,0.1,0,0,0,0,0,0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.49,0,0,0,0,0,0,0.49,0.49
" J92",0,0,0.49,0,0,0,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.49,0.49,0,0,0,0.49,0.49
" J118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.01,0,0,0.49,0.49,0,0,0,0,0,0,0.49,0.49
" J219",0.04,0.15,0,0,0.33,0,0,0,0,0.13,0.13,0,0.33,0.15,0.2,0,0,0,0.13,0.13,0.33,0,0.2,0.33,0.2,0.07,0.1,0,0,0,0,0,0,0.05,0.08,0.09,0.09,0.07,0.03,0.15,0.49,0,0,0,0,0,0,0.49,0.49
" J220",0.04,0.16,0,0,0.34,0,0,0,0,0.13,0.13,0.5,0.34,0.16,0.21,0,0,0,0.13,0.13,0.34,0,0.21,0.34,0.21,0.07,0.11,0,0,0,0,0,0,0.05,0.09,0.09,0.09,0.07,0.04,0.16,0.5,0,0,0,0,0,0,0.5,0.5
" J236",0.03,0.11,0,0,0.39,0,0,0,0,0.05,0.05,0,0.39,0.11,0.06,0.26,0.32,0.32,0.05,0.19,0.13,0,0.06,-0.11,0.06,0.05,0.07,0,-0.18,0.18,0.08,0.08,0.24,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.5,0,0,0,0,0,0,0.5,0.5
" J237",0.03,0.11,0,0,0.38,0,0,0,0,0.05,0.05,0,0.38,0.11,0.06,0.26,0.31,0.31,0.05,0.18,0.13,0,0.06,-0.11,0.06,0.05,0.07,0,0.31,0.18,0.07,0.07,0.23,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.49,0,0,0,0,0,0,0.49,0.49
" J241",0.03,0.13,0,0,0.37,0,0,0,0,0.04,0.04,0,0.37,0.13,0.17,0,0,0,0.04,0.04,0.36,0.49,0.33,-0.13,0.17,0.05,0.09,0,0,0,0,0,0,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.49,0,0,0,0,0,0,0.49,0.49
" J242",0.03,0.13,0,0,0.36,0,0,0,0,0.04,0.04,0,0.36,0.13,0.17,0,0,0,0.04,0.04,0.36,0,0.32,-0.13,0.17,0.05,0.09,0,0,0,0,0,0,0.04,0.07,0.07,0.07,0.06,0.03,0.13,0.49,0,0,0,0,0,0,0.49,0.49
" J243",0.03,0.14,0,0,0.35,0,0,0,0,0.08,0.08,0,0.35,0.14,0.27,0,0,0,0.08,0.08,0.35,0,0.27,-0.14,0.22,0.06,0.09,0,0,0,0,0,0,0.04,0.08,0.08,0.08,0.06,0.03,0.14,0.49,0,0,0,0,0,0,0.49,0.49
" J244",0.03,0.11,0,0,0.38,0,0,0,0,0.05,0.05,0,0.38,0.11,0.06,0.32,0.03,0.03,0.05,0.12,0.06,0,0.06,-0.11,0.06,0.05,0.07,0,0.03,0.03,0.14,-0.14,0.17,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.49,0,0,0,0,0,0,0.49,0.49
" J245",0.03,0.11,0,0,0.39,0,0,0,0,0.04,0.04,0,0.39,0.11,0.07,0,0,0,0.04,0.04,0.11,0,0.07,-0.11,0.07,0.05,0.07,0,0,0,0,0,0,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.5,0,0,0,0,0,0,0.5,0.5
" J246",0.03,0.11,0,0,0.39,0,0,0,0,0.05,0.05,0,0.39,0.11,0.06,0.25,0.14,0.36,0.05,0.2,0.14,0,0.06,-0.11,0.06,0.05,0.07,0,-0.14,0.14,0.11,0.11,0.25,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.5,0,0,0,0,0,0,0.5,0.5
" J247",0.03,0.11,0,0,0.38,0,0,0,0,0.05,0.05,0,0.38,0.11,0.06,0.23,0.04,0.04,0.05,0.2,0.15,0,0.06,-0.11,0.06,0.05,0.07,0,0.04,0.04,0.2,-0.29,0.26,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.49,0,0,0,0,0,0,0.49,0.49
" J248",0.03,0.11,0,0,0.38,0,0,0,0,0.05,0.05,0,0.38,0.11,0.06,0.21,0.05,0.05,0.05,0.22,0.17,0,0.06,-0.11,0.06,0.05,0.07,0,0.05,0.05,0.16,0.16,0.28,0.04,0.06,0.06,0.06,0.05,0.02,0.11,0.49,0,0,0,0,0,0,0.49,0.49
" J249",0.03,0.11,0,0,0.38,0,0,0,0,0.06,0.06,0,0.38,0.11,0.05,0.01,0,0,0.06,0.43,0.38,0,0.05,-0.11,0.05,0.05,0.08,0,0,0,0,0,0.01,0.04,0.06,0.06,0.06,0.05,0.03,0.11,0.49,0,0,0,0,0,0,0.49,0.49
" J250",0.03,0.11,0,0,0.38,0,0,0,0,0.04,0.04,0,0.38,0.11,0.07,0,0,0,0.04,0.04,0.38,0,0.07,-0.11,0.07,0.05,0.07,0,0,0,0,0,0,0.03,0.06,0.06,0.06,0.05,0.02,0.11,0.49,0,0,0,0,0,0,0.49,0.49
