		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
J73	00:00:00	80.00	0.89	27.62	107.62	0.48
J74	00:00:00	75.00	1.10	32.55	107.55	0.59
J76	00:00:00	70.00	0.91	37.40	107.40	0.49
J77	00:00:00	76.00	1.38	31.55	107.55	0.74
J78	00:00:00	60.56	0.14	44.04	104.60	0.07
J350	00:00:00	33.82	0.32	95.07	128.89	0.17
J351	00:00:00	25.51	1.13	84.73	110.24	0.59
J352	00:00:00	47.55	0.76	63.59	111.14	0.40
J353	00:00:00	22.64	0.60	88.15	110.79	0.31
J354	00:00:00	18.68	0.25	92.11	110.79	0.13
J355	00:00:00	28.87	1.17	80.37	109.24	0.62
J358	00:00:00	22.30	1.55	85.48	107.78	0.81
J359	00:00:00	17.57	0.88	89.99	107.56	0.46
J250	00:00:00	67.00	0.15	45.51	112.51	0.08
J251	00:00:00	75.19	1.26	63.45	138.64	0.78
J252	00:00:00	83.82	0.67	54.82	138.64	0.41
J253	00:00:00	74.69	0.77	59.11	133.80	0.48
J254	00:00:00	74.59	0.82	59.21	133.80	0.51
J257	00:00:00	105.58	0.35	32.95	138.53	0.21
J154	00:00:00	43.69	0.55	46.74	90.43	0.31
J155	00:00:00	44.41	0.16	45.99	90.40	0.09
J82	00:00:00	70.87	0.98	33.79	104.66	0.52
J156	00:00:00	56.16	0.28	34.63	90.79	0.16
J83	00:00:00	61.07	1.55	44.16	105.23	0.81
J84	00:00:00	43.82	0.16	80.42	124.24	0.09
J85	00:00:00	45.00	0.74	72.56	117.56	0.40
J159	00:00:00	37.41	0.45	51.54	88.95	0.26
J86	00:00:00	50.00	1.45	62.50	112.50	0.78
J87	00:00:00	42.63	1.25	82.14	124.77	0.67
J89	00:00:00	68.29	0.45	65.51	133.80	0.28
J360	00:00:00	20.71	1.12	86.69	107.40	0.59
J361	00:00:00	26.67	0.43	83.00	109.67	0.22
J362	00:00:00	43.66	0.15	68.57	112.23	0.08
J363	00:00:00	72.23	0.00	67.77	140.00	0.00
J364	00:00:00	65.00	0.00	74.50	139.50	0.00
J365	00:00:00	29.83	1.32	43.42	73.25	0.75
J366	00:00:00	14.46	0.50	58.96	73.42	0.28
J1208	00:00:00	42.74	0.39	69.71	112.45	0.21
J367	00:00:00	13.60	0.80	59.70	73.30	0.46
J369	00:00:00	20.27	0.42	53.03	73.30	0.24
J160	00:00:00	43.69	0.57	46.68	90.37	0.32
J161	00:00:00	22.81	0.07	58.07	80.88	0.04
J162	00:00:00	36.88	0.80	44.00	80.88	0.46
J163	00:00:00	16.20	0.34	64.69	80.89	0.20
J164	00:00:00	17.34	1.44	63.54	80.88	0.82
J91	00:00:00	64.09	0.98	69.70	133.79	0.61
J165	00:00:00	16.69	1.26	64.19	80.88	0.72
J166	00:00:00	23.95	1.55	56.93	80.88	0.88
J167	00:00:00	23.91	0.55	56.97	80.88	0.31
J94	00:00:00	30.75	0.90	93.39	124.14	0.49
J95	00:00:00	22.56	0.13	56.81	79.37	0.08
J96	00:00:00	30.00	1.06	49.36	79.36	0.60
J97	00:00:00	34.19	0.68	45.15	79.34	0.39
J976	00:00:00	6.30	1.60	68.63	74.93	0.91
J571	00:00:00	77.11	0.19	59.62	136.73	0.12
J572	00:00:00	76.40	1.54	60.33	136.73	0.95
J573	00:00:00	81.62	1.03	52.21	133.83	0.64
J574	00:00:00	67.36	0.58	66.41	133.77	0.36
J575	00:00:00	75.27	0.25	61.03	136.30	0.15
J576	00:00:00	80.80	0.80	56.03	136.83	0.49
J370	00:00:00	20.46	0.37	52.78	73.24	0.21
J371	00:00:00	68.81	0.00	70.53	139.34	0.00
J372	00:00:00	23.20	0.22	50.62	73.82	0.12
J373	00:00:00	27.22	0.05	46.60	73.82	0.03
J374	00:00:00	13.70	0.58	60.14	73.84	0.33
J375	00:00:00	22.72	0.91	51.12	73.84	0.52
J376	00:00:00	12.18	1.54	61.49	73.67	0.88
J377	00:00:00	13.12	0.90	60.70	73.82	0.51
J1219	00:00:00	14.48	0.68	65.26	79.74	0.39
J379	00:00:00	10.25	1.41	63.12	73.37	0.80
J171	00:00:00	8.81	1.38	71.32	80.13	0.78
J172	00:00:00	6.25	1.12	74.03	80.28	0.64
J173	00:00:00	13.00	1.20	67.85	80.85	0.68
J174	00:00:00	6.11	1.66	74.30	80.41	0.95
J175	00:00:00	6.84	0.57	73.57	80.41	0.32
J177	00:00:00	13.14	0.83	67.53	80.67	0.47
J179	00:00:00	15.01	0.69	64.73	79.74	0.39
J580	00:00:00	113.08	1.16	22.00	135.08	0.72
J486	00:00:00	86.11	0.30	48.78	134.89	0.18
J487	00:00:00	79.00	0.70	55.62	134.62	0.44
J488	00:00:00	89.16	0.91	46.15	135.31	0.56
J489	00:00:00	85.02	1.36	49.87	134.89	0.84
J381	00:00:00	36.02	0.90	74.18	110.20	0.47
J1223	00:00:00	3.48	0.71	70.59	74.07	0.41
J382	00:00:00	70.42	0.85	39.08	109.50	0.45
J384	00:00:00	42.51	0.00	70.04	112.55	0.00
J385	00:00:00	76.60	0.00	62.20	138.80	0.00
J180	00:00:00	8.77	0.82	71.36	80.13	0.46
J181	00:00:00	10.94	1.13	69.84	80.78	0.65
J1024	00:00:00	5.83	1.48	69.11	74.94	0.84
J183	00:00:00	13.28	0.62	66.83	80.11	0.35
J1025	00:00:00	8.61	0.50	66.33	74.94	0.29
J186	00:00:00	9.38	0.49	70.60	79.98	0.28
J187	00:00:00	9.81	0.25	70.30	80.11	0.14
J188	00:00:00	8.51	0.88	71.23	79.74	0.50
J189	00:00:00	7.58	0.37	72.16	79.74	0.21
J490	00:00:00	103.84	0.97	31.47	135.31	0.60
J491	00:00:00	76.93	0.61	59.77	136.70	0.37
J492	00:00:00	94.67	1.46	40.04	134.71	0.90
J493	00:00:00	77.62	0.80	57.66	135.28	0.49
J494	00:00:00	112.76	0.32	23.77	136.53	0.20
J495	00:00:00	91.15	1.14	45.59	136.74	0.71
J496	00:00:00	106.34	1.25	30.27	136.61	0.77
J497	00:00:00	112.63	1.02	22.53	135.16	0.63
J498	00:00:00	90.12	1.30	46.64	136.76	0.81
J500	00:00:00	75.52	0.27	59.35	134.87	0.17
J499	00:00:00	72.24	1.35	62.63	134.87	0.83
J501	00:00:00	80.97	0.34	54.03	135.00	0.21
J502	00:00:00	80.99	1.59	53.87	134.86	0.99
J503	00:00:00	99.65	0.11	35.39	135.04	0.07
J504	00:00:00	66.71	0.10	68.16	134.87	0.06
J394	00:00:00	70.53	0.00	71.30	141.83	0.00
J509	00:00:00	99.94	0.63	35.09	135.03	0.39
J399	00:00:00	75.00	0.00	66.83	141.83	0.00
J401	00:00:00	70.00	0.00	71.83	141.83	0.00
J406	00:00:00	71.74	0.00	70.09	141.83	0.00
J295	00:00:00	56.42	0.29	48.17	104.59	0.15
J407	00:00:00	68.00	0.00	73.83	141.83	0.00
J296	00:00:00	30.91	1.19	73.49	104.40	0.62
J408	00:00:00	7.93	0.89	67.12	75.05	0.51
J297	00:00:00	99.05	0.94	5.53	104.58	0.49
J298	00:00:00	77.46	0.36	27.34	104.80	0.19
J191	00:00:00	5.76	0.78	73.98	79.74	0.44
J303	00:00:00	50.42	1.24	54.70	105.12	0.65
J192	00:00:00	12.40	1.25	69.85	82.25	0.71
J193	00:00:00	12.99	0.66	69.26	82.25	0.38
J305	00:00:00	47.11	1.51	57.99	105.10	0.79
J194	00:00:00	13.46	1.24	67.41	80.87	0.71
J195	00:00:00	15.39	0.15	64.35	79.74	0.08
J196	00:00:00	13.35	1.06	67.54	80.89	0.60
J308	00:00:00	33.24	1.19	35.11	68.35	0.68
J198	00:00:00	18.54	0.03	54.75	73.29	0.01
J200	00:00:00	15.75	0.72	57.54	73.29	0.41
J199	00:00:00	16.26	0.67	57.03	73.29	0.38
J201	00:00:00	44.86	0.46	21.10	65.96	0.26
J202	00:00:00	10.41	1.64	63.55	73.96	0.93
J203	00:00:00	11.03	1.34	62.36	73.39	0.76
J204	00:00:00	21.51	1.16	48.77	70.28	0.66
J205	00:00:00	16.66	0.70	56.68	73.34	0.40
J206	00:00:00	14.12	1.22	59.18	73.30	0.70
J207	00:00:00	18.86	0.46	54.42	73.28	0.26
J208	00:00:00	11.25	0.59	62.88	74.13	0.34
J101	00:00:00	28.65	0.72	49.68	78.33	0.41
J102	00:00:00	46.96	1.57	32.32	79.28	0.90
J109	00:00:00	17.47	0.20	60.85	78.32	0.12
J1	00:00:00	16.82	1.08	64.07	80.89	0.61
J2	00:00:00	11.97	0.58	67.78	79.75	0.33
J3	00:00:00	29.02	0.17	42.05	71.07	0.10
J4	00:00:00	20.88	0.31	50.26	71.14	0.18
J5	00:00:00	22.75	0.13	48.66	71.41	0.07
J6	00:00:00	15.25	0.72	55.35	70.60	0.41
J7	00:00:00	24.91	1.60	45.81	70.72	0.91
J8	00:00:00	31.17	0.90	39.66	70.83	0.51
J9	00:00:00	31.89	0.82	39.10	70.99	0.47
J10	00:00:00	14.62	1.62	53.74	68.36	0.92
J11	00:00:00	18.43	0.36	55.01	73.44	0.21
J12	00:00:00	29.27	0.63	41.78	71.05	0.36
J13	00:00:00	32.04	0.66	38.47	70.51	0.38
J14	00:00:00	37.91	0.00	28.39	66.30	0.00
J15	00:00:00	102.84	0.00	38.99	141.83	0.00
J16	00:00:00	88.89	0.00	52.94	141.83	0.00
J17	00:00:00	82.75	0.00	59.08	141.83	0.00
J18	00:00:00	84.96	0.00	56.87	141.83	0.00
J19	00:00:00	90.94	0.00	50.89	141.83	0.00
J20	00:00:00	80.00	0.00	61.83	141.83	0.00
J21	00:00:00	80.00	0.00	61.83	141.83	0.00
J22	00:00:00	82.74	0.00	55.83	138.57	0.00
J23	00:00:00	75.96	0.00	62.95	138.91	0.00
J25	00:00:00	94.13	0.11	44.16	138.29	0.07
J26	00:00:00	76.35	1.26	61.94	138.29	0.78
J27	00:00:00	82.08	1.17	56.21	138.29	0.72
J28	00:00:00	45.00	0.83	39.96	84.96	0.51
J29	00:00:00	49.00	0.26	35.98	84.98	0.16
J30	00:00:00	72.01	0.37	66.28	138.29	0.23
J31	00:00:00	69.78	0.54	68.51	138.29	0.34
J32	00:00:00	45.00	1.31	39.97	84.97	0.81
J33	00:00:00	48.00	0.08	36.96	84.96	0.05
J34	00:00:00	50.00	0.86	34.97	84.97	0.53
J35	00:00:00	67.78	1.26	70.51	138.29	0.78
J36	00:00:00	51.08	1.33	33.90	84.98	0.83
J37	00:00:00	66.19	0.54	72.22	138.41	0.34
J38	00:00:00	47.00	1.62	37.96	84.96	1.00
J24	00:00:00	34.53	1.34	39.66	74.19	0.76
J39	00:00:00	45.88	1.12	28.42	74.30	0.64
J40	00:00:00	12.80	1.51	61.08	73.88	0.86
J123	00:00:00	38.41	1.46	85.72	124.13	0.79
J140	00:00:00	39.94	0.69	84.19	124.13	0.38
J141	00:00:00	41.45	0.21	82.68	124.13	0.11
J157	00:00:00	31.49	1.59	92.65	124.14	0.87
J158	00:00:00	25.88	1.33	98.26	124.14	0.72
J168	00:00:00	40.21	1.16	83.93	124.14	0.63
J170	00:00:00	46.87	0.67	77.27	124.14	0.36
J176	00:00:00	50.64	0.03	73.51	124.15	0.01
J178	00:00:00	58.87	0.28	65.28	124.15	0.15
J184	00:00:00	56.09	0.27	68.06	124.15	0.15
J185	00:00:00	43.71	0.85	80.45	124.16	0.46
J190	00:00:00	58.49	0.68	65.88	124.37	0.37
J197	00:00:00	41.86	0.18	82.75	124.61	0.10
J213	00:00:00	52.07	0.46	72.30	124.37	0.25
J215	00:00:00	75.76	1.07	48.58	124.34	0.58
J216	00:00:00	53.06	1.42	71.61	124.67	0.77
J227	00:00:00	52.89	0.83	74.17	127.06	0.45
J238	00:00:00	44.16	0.31	84.80	128.96	0.17
J239	00:00:00	43.49	1.49	85.46	128.95	0.81
J255	00:00:00	35.31	0.62	93.63	128.94	0.34
J256	00:00:00	40.00	0.00	89.22	129.22	0.00
J258	00:00:00	51.24	1.28	75.81	127.05	0.70
J260	00:00:00	32.53	0.36	96.36	128.89	0.20
J265	00:00:00	50.87	0.74	77.99	128.86	0.41
J266	00:00:00	39.83	0.39	89.05	128.88	0.21
J267	00:00:00	22.31	1.46	88.48	110.79	0.77
J61	00:00:00	72.00	1.02	35.44	107.44	0.55
J92	00:00:00	72.00	0.62	35.40	107.40	0.33
J268	00:00:00	69.68	0.65	34.92	104.60	0.34
J278	00:00:00	104.29	1.43	29.41	133.70	0.89
J281	00:00:00	83.72	0.98	49.91	133.63	0.60
J283	00:00:00	94.06	1.55	39.57	133.63	0.96
J284	00:00:00	77.38	0.86	56.24	133.62	0.53
J136	00:00:00	81.80	0.55	52.01	133.81	0.34
J137	00:00:00	9.11	1.45	71.03	80.14	0.82
J145	00:00:00	47.46	0.43	76.67	124.13	0.24
J118	00:00:00	75.00	0.43	32.79	107.79	0.23
J52	00:00:00	54.70	0.30	54.88	109.58	0.16
J81	00:00:00	50.00	0.58	34.93	84.93	0.36
J88	00:00:00	45.00	4.18e-03	40.00	85.00	2.58e-03
J90	00:00:00	84.00	1.24	54.64	138.64	0.77
J93	00:00:00	65.00	4.20	73.40	138.40	2.60
J147	00:00:00	68.00	0.46	68.73	136.73	0.29
J148	00:00:00	50.00	1.17	44.48	94.48	0.72
J149	00:00:00	40.00	0.67	54.48	94.48	0.42
J150	00:00:00	60.00	1.35	34.45	94.45	0.84
J151	00:00:00	60.00	1.24	73.48	133.48	0.76
J152	00:00:00	32.00	0.73	48.90	80.90	0.45
J153	00:00:00	60.00	0.13	73.48	133.48	0.08
J169	00:00:00	42.00	0.68	40.00	82.00	0.42
J182	00:00:00	40.00	0.57	41.99	81.99	0.35
J222	00:00:00	32.00	1.18	48.93	80.93	0.73
J224	00:00:00	37.00	0.52	43.92	80.92	0.32
J230	00:00:00	30.00	1.33	75.07	105.07	0.70
J235	00:00:00	53.00	0.25	52.10	105.10	0.13
J240	00:00:00	87.00	0.99	48.03	135.03	0.61
J269	00:00:00	56.00	0.00	34.80	90.80	0.00
J273	00:00:00	56.00	0.00	34.81	90.81	0.00
J274	00:00:00	56.00	0.00	34.80	90.80	0.00
J276	00:00:00	56.00	0.00	2.98	58.98	0.00
J280	00:00:00	56.00	0.00	2.98	58.98	0.00
J285	00:00:00	56.00	0.00	2.97	58.97	0.00
J287	00:00:00	40.00	0.00	25.41	65.41	0.00
J288	00:00:00	40.00	0.00	25.35	65.35	0.00
J289	00:00:00	40.00	0.00	25.37	65.37	0.00
J290	00:00:00	40.00	0.00	25.33	65.33	0.00
J291	00:00:00	65.00	0.00	84.60	149.60	0.00
J292	00:00:00	40.00	0.00	89.23	129.23	0.00
J299	00:00:00	40.00	0.00	25.29	65.29	0.00
J300	00:00:00	40.00	0.00	25.31	65.31	0.00
J301	00:00:00	44.00	0.00	20.95	64.95	0.00
J302	00:00:00	44.00	0.00	20.89	64.89	0.00
J304	00:00:00	44.00	0.00	82.33	126.33	0.00
J306	00:00:00	44.00	0.00	82.10	126.10	0.00
J307	00:00:00	44.00	0.00	20.77	64.77	0.00
J309	00:00:00	44.00	0.00	20.77	64.77	0.00
J317	00:00:00	44.00	0.00	68.70	112.70	0.00
J323	00:00:00	44.00	0.00	68.70	112.70	0.00
R1	00:00:00	59.00	0.00	0.00	59.00	-193.20
T3	00:00:00	112.90	0.00	3.00	115.90	21.13
T1	00:00:00	71.50	0.00	3.00	74.50	-38.86
T7	00:00:00	102.00	0.00	2.50	104.50	5.57
T6	00:00:00	101.50	0.00	5.20	106.70	3.98
T5	00:00:00	105.80	0.00	1.00	106.80	17.33
T2	00:00:00	65.00	0.00	0.50	65.50	21.61
T4	00:00:00	132.50	0.00	2.50	135.00	7.59
J511	01:00:00	105.08	1.18	30.38	135.46	0.53
J411	01:00:00	8.95	0.89	65.56	74.51	0.41
J414	01:00:00	34.36	0.97	34.83	69.19	0.45
J415	01:00:00	65.00	0.00	86.61	151.61	0.00
J416	01:00:00	42.60	0.00	101.49	144.09	0.00
J417	01:00:00	37.38	1.29	30.04	67.42	0.60
J418	01:00:00	37.39	0.00	29.17	66.56	0.00
J419	01:00:00	40.50	0.00	25.54	66.04	0.00
J310	01:00:00	51.84	1.36	54.74	106.58	0.61
J311	01:00:00	55.95	1.18	50.64	106.59	0.53
J312	01:00:00	68.48	0.08	37.20	105.68	0.03
J313	01:00:00	67.66	0.69	38.01	105.67	0.31
J314	01:00:00	14.94	1.44	58.76	73.70	0.67
J315	01:00:00	16.03	1.32	57.62	73.65	0.61
J316	01:00:00	12.98	0.62	60.94	73.92	0.29
J318	01:00:00	53.67	1.60	52.34	106.01	0.72
J319	01:00:00	39.29	1.45	66.72	106.01	0.65
J210	01:00:00	7.01	0.09	67.09	74.10	0.04
J211	01:00:00	11.27	1.58	62.84	74.11	0.74
J212	01:00:00	7.87	0.61	66.23	74.10	0.28
J214	01:00:00	8.67	0.87	65.48	74.15	0.41
J217	01:00:00	10.98	1.28	62.64	73.62	0.59
J218	01:00:00	7.68	0.09	66.42	74.10	0.04
J219	01:00:00	52.00	0.99	61.71	113.71	0.44
J110	01:00:00	15.92	0.78	63.75	79.67	0.36
J420	01:00:00	39.99	0.00	26.15	66.14	0.00
J421	01:00:00	37.09	1.04	30.07	67.16	0.48
J422	01:00:00	38.81	0.00	27.75	66.56	0.00
J1153	01:00:00	22.14	0.44	50.89	73.03	0.20
J1154	01:00:00	14.61	0.47	58.83	73.44	0.22
J1155	01:00:00	15.54	1.38	57.85	73.39	0.64
J425	01:00:00	64.42	0.00	79.27	143.69	0.00
J426	01:00:00	72.71	0.00	70.69	143.40	0.00
J1157	01:00:00	22.21	1.64	50.81	73.02	0.76
J427	01:00:00	67.65	0.00	76.40	144.05	0.00
J1158	01:00:00	28.25	0.38	45.06	73.31	0.18
J428	01:00:00	16.20	1.16	53.65	69.85	0.54
J429	01:00:00	12.56	1.63	57.36	69.92	0.76
J320	01:00:00	46.73	0.41	60.34	107.07	0.18
J321	01:00:00	44.59	0.89	62.45	107.04	0.40
J322	01:00:00	48.02	0.18	59.02	107.04	0.08
J324	01:00:00	42.38	1.67	64.65	107.03	0.75
J1056	01:00:00	7.64	1.13	66.64	74.28	0.52
J327	01:00:00	49.68	0.03	57.65	107.33	0.01
J1058	01:00:00	13.58	0.96	57.90	71.48	0.45
J328	01:00:00	45.69	0.17	61.87	107.56	0.07
J329	01:00:00	44.05	0.17	69.23	113.28	0.08
J220	01:00:00	80.00	1.33	33.68	113.68	0.59
J221	01:00:00	97.07	0.47	8.25	105.32	0.21
J225	01:00:00	13.33	0.08	60.51	73.84	0.04
J226	01:00:00	11.10	0.49	62.58	73.68	0.23
J50	01:00:00	71.80	0.64	33.52	105.32	0.29
J51	01:00:00	77.42	0.50	27.90	105.32	0.23
J53	01:00:00	85.00	1.58	22.78	107.78	0.70
J54	01:00:00	80.00	1.63	28.52	108.52	0.72
J128	01:00:00	85.26	0.67	51.89	137.15	0.30
J55	01:00:00	71.00	0.46	37.67	108.67	0.20
J129	01:00:00	62.85	0.27	74.00	136.85	0.12
J56	01:00:00	72.00	0.27	37.14	109.14	0.12
J57	01:00:00	59.00	1.08	51.59	110.59	0.48
J58	01:00:00	76.00	0.68	32.63	108.63	0.30
J59	01:00:00	57.00	0.69	54.16	111.16	0.30
J1160	01:00:00	24.91	1.19	46.88	71.79	0.55
J1161	01:00:00	25.25	0.54	46.52	71.77	0.25
J431	01:00:00	16.90	1.06	55.41	72.31	0.49
J432	01:00:00	19.88	0.35	52.12	72.00	0.16
J433	01:00:00	27.35	0.31	44.64	71.99	0.14
J434	01:00:00	16.48	0.97	57.49	73.97	0.45
J435	01:00:00	12.15	0.13	61.28	73.43	0.06
J436	01:00:00	17.68	0.76	52.35	70.03	0.35
J438	01:00:00	10.43	1.51	63.87	74.30	0.70
J1169	01:00:00	55.42	0.44	74.62	130.04	0.21
J439	01:00:00	17.78	1.31	51.96	69.74	0.61
J330	01:00:00	58.25	0.63	48.11	106.36	0.28
J331	01:00:00	59.26	0.48	47.05	106.31	0.22
J332	01:00:00	44.18	1.32	21.66	65.84	0.62
J333	01:00:00	25.70	1.05	44.54	70.24	0.49
J334	01:00:00	29.28	1.05	40.93	70.21	0.49
J335	01:00:00	25.08	0.71	45.24	70.32	0.33
J336	01:00:00	23.81	0.16	46.70	70.51	0.08
J337	01:00:00	22.11	0.94	52.03	74.14	0.43
J231	01:00:00	71.90	1.16	38.84	110.74	0.52
