		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
P225	00:00:00	120.77	102.00	92.69	0.09	0.01	5.59e-03	0.09
P228	00:00:00	42.72	76.00	99.29	1.78	0.39	4.91	0.05
P23	00:00:00	316.91	508.00	77.16	190.96	0.94	4.30	0.05
P230	00:00:00	114.61	76.00	77.40	1.77	0.39	7.67	0.08
P231	00:00:00	12.21	76.00	98.42	1.44	0.32	3.35	0.05
P233	00:00:00	58.66	76.00	97.30	0.60	0.13	0.67	0.06
P234	00:00:00	41.63	76.00	87.21	1.19	0.26	2.97	0.06
P235	00:00:00	92.74	76.00	84.32	4.81	1.06	41.62	0.06
P237	00:00:00	12.01	305.00	5.06	49.02	0.67	646.72	8.60
P238	00:00:00	12.59	304.80	104.74	49.02	0.67	2.37	0.03
P24	00:00:00	71.05	508.00	88.62	171.20	0.84	2.72	0.04
P241	00:00:00	49.46	102.00	114.84	0.49	0.06	0.08	0.05
P242	00:00:00	25.06	152.40	99.01	1.93	0.11	0.19	0.05
P243	00:00:00	57.08	203.20	82.80	4.25	0.13	0.29	0.07
P245	00:00:00	18.65	152.40	120.40	34.77	1.91	28.36	0.02
P246	00:00:00	56.94	152.40	121.60	22.43	1.23	12.36	0.02
P248	00:00:00	6.96	152.40	110.07	21.55	1.18	13.81	0.03
P249	00:00:00	28.43	51.00	85.38	0.59	0.29	5.82	0.07
P25	00:00:00	4.30	508.00	74.38	186.32	0.92	4.40	0.05
P251	00:00:00	11.49	152.00	103.73	17.64	0.97	10.74	0.03
P252	00:00:00	135.44	305.00	82.30	49.02	0.67	3.69	0.05
P255	00:00:00	76.14	51.00	71.47	0.18	0.09	0.88	0.12
P256	00:00:00	55.17	305.00	94.86	49.02	0.67	2.84	0.04
P258	00:00:00	79.53	102.00	75.51	0.03	3.35e-03	8.51e-04	0.15
P259	00:00:00	136.09	102.00	83.09	0.15	0.02	0.02	0.10
P26	00:00:00	22.94	508.00	88.01	3.84	0.02	2.43e-03	0.07
P264	00:00:00	11.73	101.60	112.51	0.45	0.06	0.07	0.05
P266	00:00:00	55.29	101.60	107.06	0.80	0.10	0.23	0.05
P267	00:00:00	344.62	152.40	95.59	0.29	0.02	6.03e-03	0.07
P268	00:00:00	146.46	152.40	86.84	1.98	0.11	0.26	0.07
P27	00:00:00	163.63	254.00	69.11	1.69	0.03	0.02	0.11
P270	00:00:00	88.36	101.60	92.77	0.84	0.10	0.33	0.06
P272	00:00:00	143.88	102.00	73.95	1.29	0.16	1.11	0.09
P275	00:00:00	172.96	152.40	98.16	0.72	0.04	0.03	0.06
P28	00:00:00	117.42	152.00	88.27	0.82	0.05	0.05	0.07
P280	00:00:00	333.40	203.00	88.34	6.35e-08	1.96e-09	7.14e-11	0.00
P282	00:00:00	131.93	102.00	86.72	2.77	0.34	3.39	0.06
P284	00:00:00	198.97	76.20	89.13	0.84	0.19	1.48	0.06
P285	00:00:00	130.71	76.20	90.18	0.08	0.02	0.02	0.09
P286	00:00:00	155.58	101.60	90.01	0.35	0.04	0.07	0.08
P287	00:00:00	45.12	254.00	78.35	21.61	0.43	2.16	0.06
P288	00:00:00	226.74	76.20	85.05	1.51	0.33	4.71	0.06
P29	00:00:00	20.51	152.00	89.48	0.72	0.04	0.04	0.07
P290	00:00:00	46.28	76.20	89.44	0.32	0.07	0.25	0.07
P291	00:00:00	132.94	305.00	107.08	49.02	0.67	2.27	0.03
P292	00:00:00	13.54	305.00	97.27	49.02	0.67	2.71	0.04
P293	00:00:00	125.20	305.00	92.16	49.02	0.67	2.99	0.04
P294	00:00:00	101.20	102.00	79.97	1.40	0.17	1.12	0.08
P295	00:00:00	133.23	76.00	72.41	3.69	0.81	33.86	0.08
P296	00:00:00	231.87	76.00	82.96	0.81	0.18	1.58	0.07
P297	00:00:00	42.53	406.00	73.00	109.76	0.85	5.09	0.06
P298	00:00:00	40.11	305.00	84.55	79.66	1.09	8.63	0.04
P299	00:00:00	61.51	102.00	87.71	2.33	0.29	2.42	0.06
P3	00:00:00	136.52	300.00	73.65	13.73	0.19	0.47	0.07
P30	00:00:00	40.89	254.00	86.71	1.65	0.03	0.02	0.07
P301	00:00:00	45.31	305.00	85.19	79.10	1.08	8.40	0.04
P302	00:00:00	178.28	305.00	80.34	78.90	1.08	9.32	0.05
P303	00:00:00	131.94	76.00	88.33	0.74	0.16	1.21	0.07
P304	00:00:00	268.74	101.60	89.39	0.45	0.06	0.11	0.07
P305	00:00:00	43.41	203.00	90.80	6.64e-09	2.05e-10	2.44e-10	0.00
P307	00:00:00	47.30	305.00	60.51	77.91	1.07	15.39	0.08
P308	00:00:00	334.57	305.00	88.08	49.02	0.67	3.26	0.04
P309	00:00:00	128.80	101.60	94.96	0.70	0.09	0.23	0.06
P31	00:00:00	144.67	152.00	108.77	5.15	0.28	1.01	0.04
P310	00:00:00	9.00	610.00	87.27	193.20	0.66	1.44	0.04
P316	00:00:00	11.62	610.00	70.45	193.20	0.66	2.13	0.06
P319	00:00:00	10.54	610.00	76.59	2.66e-05	9.09e-08	1.64e-12	0.00
P32	00:00:00	84.44	152.00	103.56	8.34	0.46	2.70	0.04
P320	00:00:00	11.47	610.00	76.52	96.59	0.33	0.51	0.06
P322	00:00:00	11.50	610.00	89.43	96.59	0.33	0.38	0.04
P323	00:00:00	11.47	610.00	84.69	3.78e-05	1.29e-07	2.27e-12	1.62
P329	00:00:00	134.52	152.00	100.18	2.26	0.12	0.26	0.05
P33	00:00:00	22.81	254.00	73.04	6.38	0.13	0.26	0.08
P330	00:00:00	66.79	76.00	96.42	1.06	0.23	1.99	0.05
P331	00:00:00	93.46	51.00	93.19	0.44	0.21	2.83	0.06
P336	00:00:00	182.99	152.00	92.17	3.57	0.20	0.70	0.05
P337	00:00:00	20.49	305.00	5.62	15.98	0.22	66.83	8.36
P338	00:00:00	74.38	76.00	100.36	0.17	0.04	0.06	0.07
P339	00:00:00	307.49	102.00	88.65	0.99	0.12	0.48	0.07
P34	00:00:00	98.00	508.00	78.51	176.71	0.87	3.61	0.05
P340	00:00:00	96.21	305.00	101.08	27.06	0.37	0.84	0.04
P341	00:00:00	189.74	305.00	94.64	24.26	0.33	0.77	0.04
P343	00:00:00	111.65	152.00	100.29	4.28	0.24	0.83	0.04
P344	00:00:00	45.26	152.00	85.91	6.10	0.34	2.14	0.06
P346	00:00:00	54.91	51.00	93.91	0.06	0.03	0.08	0.08
P347	00:00:00	385.56	305.00	96.24	7.59	0.10	0.09	0.05
P348	00:00:00	42.47	305.00	88.73	8.60	0.12	0.13	0.06
P349	00:00:00	39.12	305.00	97.01	10.92	0.15	0.17	0.05
P35	00:00:00	64.56	152.00	84.38	0.87	0.05	0.06	0.07
P350	00:00:00	400.16	203.00	99.86	0.61	0.02	5.58e-03	0.06
P37	00:00:00	180.61	203.00	97.80	0.16	4.83e-03	4.63e-04	0.08
P372	00:00:00	6.42	101.60	113.11	8.23	1.01	15.90	0.03
P374	00:00:00	15.83	254.00	91.92	33.93	0.67	3.71	0.04
P375	00:00:00	7.79	254.00	75.49	33.93	0.67	5.34	0.06
P376	00:00:00	6.64	254.00	102.69	33.93	0.67	3.02	0.03
P378	00:00:00	6.47	254.00	112.45	33.93	0.67	2.55	0.03
P379	00:00:00	6.43	254.00	101.78	49.02	0.97	6.07	0.03
P38	00:00:00	169.49	76.00	106.47	1.28	0.28	2.32	0.04
P380	00:00:00	4.79	254.00	87.81	49.02	0.97	7.98	0.04
P381	00:00:00	5.53	304.80	119.21	49.02	0.67	1.86	0.02
P383	00:00:00	19.56	152.00	80.15	4.75	0.26	1.53	0.07
P384	00:00:00	26.14	76.00	101.91	3.41	0.75	15.53	0.04
P385	00:00:00	106.53	305.00	76.02	25.06	0.34	1.23	0.06
P386	00:00:00	8.12	152.00	79.90	10.88	0.60	7.14	0.06
P39	00:00:00	190.12	102.00	95.44	0.19	0.02	0.02	0.07
P397	00:00:00	13.16	203.20	87.43	66.13	2.04	41.53	0.04
P398	00:00:00	6.75	203.20	91.05	30.69	0.95	9.28	0.04
P399	00:00:00	9.71	203.20	81.41	30.69	0.95	11.42	0.05
P40	00:00:00	143.64	102.00	107.91	6.57	0.80	11.22	0.03
P402	00:00:00	6.12	203.20	89.15	4.47e-05	1.38e-06	1.50e-10	0.31
P403	00:00:00	6.86	152.40	111.47	35.44	1.94	33.88	0.03
P409	00:00:00	26.38	152.40	89.90	35.44	1.94	50.47	0.04
P410	00:00:00	7.70	203.20	85.67	4.51e-05	1.39e-06	1.64e-10	0.34
P42	00:00:00	32.93	152.00	114.92	4.06	0.22	0.59	0.03
P424	00:00:00	27.80	203.20	124.99	30.69	0.95	5.16	0.02
P43	00:00:00	36.18	203.00	88.54	0.22	6.73e-03	1.03e-03	0.09
P44	00:00:00	247.65	152.00	115.17	19.04	1.05	10.23	0.03
P443	00:00:00	67.31	305.00	85.58	77.55	1.06	8.03	0.04
P445	00:00:00	7.80	254.00	86.21	105.14	2.07	33.94	0.04
P446	00:00:00	31.15	254.00	102.20	0.00	0.00	0.00	0.00
P450	00:00:00	19.47	254.00	96.97	3.55e-06	7.00e-08	0.00	0.00
P46	00:00:00	70.86	102.00	112.66	0.09	0.01	3.99e-03	0.06
P465	00:00:00	18.20	254.00	86.57	104.55	2.06	33.34	0.04
P467	00:00:00	15.17	254.00	96.15	104.55	2.06	27.44	0.03
P468	00:00:00	31.29	254.00	105.27	82.94	1.64	15.11	0.03
P48	00:00:00	28.98	152.00	113.52	3.58	0.20	0.47	0.04
P482	00:00:00	321.89	152.00	78.90	1.76	0.10	0.25	0.08
P484	00:00:00	336.57	203.00	79.98	29.25	0.90	10.87	0.05
P49	00:00:00	134.92	152.00	121.71	0.59	0.03	0.01	0.04
P492	00:00:00	157.32	101.60	114.11	0.10	0.01	4.43e-03	0.06
P5	00:00:00	588.97	406.00	83.56	5.18	0.04	0.01	0.07
P500	00:00:00	24.23	203.00	112.62	0.41	0.01	2.17e-03	0.05
P501	00:00:00	11.32	152.40	111.45	1.24	0.07	0.07	0.04
P502	00:00:00	9.19	76.20	99.59	1.20	0.26	2.32	0.05
P51	00:00:00	57.47	102.00	92.24	2.14	0.26	1.87	0.05
P510	00:00:00	193.37	102.00	104.95	1.35e-03	1.65e-04	1.31e-10	9.59e-06
P52	00:00:00	83.26	102.00	89.65	1.19	0.15	0.67	0.06
P524	00:00:00	170.54	305.00	96.23	11.65	0.16	0.19	0.05
P527	00:00:00	149.04	305.00	73.12	15.35	0.21	0.54	0.07
P529	00:00:00	212.31	102.00	103.92	0.98	0.12	0.35	0.05
P53	00:00:00	10.32	203.00	87.56	30.69	0.95	10.03	0.04
P54	00:00:00	111.67	51.00	92.40	0.96	0.47	12.48	0.06
P55	00:00:00	99.86	76.00	87.65	1.72	0.38	5.68	0.06
P57	00:00:00	288.77	152.00	99.60	25.57	1.41	23.11	0.03
P58	00:00:00	503.91	102.00	100.85	9.11	1.11	23.29	0.04
P596	00:00:00	76.39	76.00	112.81	2.19	0.48	5.65	0.04
P597	00:00:00	79.68	102.00	101.12	0.53	0.07	0.12	0.06
P6	00:00:00	199.39	152.00	94.65	0.74	0.04	0.04	0.06
P609	00:00:00	86.07	76.00	111.63	3.61	0.80	14.57	0.03
P610	00:00:00	206.58	76.00	95.80	1.92e-03	4.23e-04	9.65e-10	8.03e-06
P63	00:00:00	165.95	254.00	88.73	3.95	0.08	0.07	0.06
P633	00:00:00	173.88	152.00	119.13	4.93	0.27	0.79	0.03
P64	00:00:00	126.63	203.00	80.25	3.35	0.10	0.19	0.07
P65	00:00:00	164.93	102.00	101.95	3.22	0.39	3.33	0.04
P67	00:00:00	330.24	203.00	74.11	2.96	0.09	0.18	0.09
P670	00:00:00	54.41	152.00	98.70	3.51e-03	1.94e-04	4.17e-09	3.32e-04
P671	00:00:00	62.97	152.00	94.84	1.92e-03	1.06e-04	3.33e-11	8.87e-06
P68	00:00:00	302.74	305.00	83.22	1.16	0.02	3.52e-03	0.08
P69	00:00:00	103.63	152.00	72.35	4.72	0.26	1.83	0.08
P697	00:00:00	88.89	102.00	97.76	5.68e-04	6.96e-05	7.21e-12	2.98e-06
P7	00:00:00	60.22	508.00	78.45	30.88	0.15	0.14	0.06
P70	00:00:00	88.36	152.00	72.84	2.13	0.12	0.41	0.09
P71	00:00:00	419.40	254.00	84.73	0.44	8.76e-03	1.40e-03	0.09
P72	00:00:00	247.46	305.00	85.04	4.02	0.06	0.03	0.07
P724	00:00:00	92.72	152.00	96.71	0.34	0.02	8.20e-03	0.07
P725	00:00:00	117.32	152.00	105.29	0.78	0.04	0.03	0.05
P752	00:00:00	70.36	152.00	106.17	5.57	0.31	1.18	0.04
P753	00:00:00	71.91	152.00	89.52	4.87	0.27	1.25	0.05
P754	00:00:00	92.49	51.00	84.83	5.68e-04	2.78e-04	2.67e-10	3.45e-06
P755	00:00:00	47.12	305.00	114.13	0.66	9.07e-03	6.97e-04	0.05
P756	00:00:00	41.66	305.00	107.92	0.74	0.01	9.59e-04	0.06
P757	00:00:00	568.43	305.00	99.83	1.50	0.02	4.03e-03	0.06
P758	00:00:00	102.21	305.00	93.36	2.34	0.03	0.01	0.06
P759	00:00:00	97.19	152.00	104.44	5.70	0.31	1.29	0.04
P760	00:00:00	88.54	152.00	101.85	5.89	0.32	1.44	0.04
P761	00:00:00	171.27	152.00	96.99	6.29	0.35	1.78	0.04
P763	00:00:00	387.59	305.00	112.21	1.52	0.02	3.34e-03	0.05
P766	00:00:00	37.85	152.00	95.04	1.44	0.08	0.12	0.06
P767	00:00:00	227.50	305.00	109.31	3.11	0.04	0.01	0.04
P768	00:00:00	217.03	254.00	116.51	0.72	0.01	1.92e-03	0.05
P769	00:00:00	154.26	305.00	110.62	3.60	0.05	0.02	0.04
P771	00:00:00	69.36	203.00	99.63	0.36	0.01	2.15e-03	0.07
P772	00:00:00	215.02	305.00	85.80	4.60	0.06	0.04	0.06
P775	00:00:00	129.42	203.00	108.38	0.30	9.31e-03	1.29e-03	0.06
P776	00:00:00	421.07	102.00	114.35	0.15	0.02	9.08e-03	0.05
P777	00:00:00	402.31	305.00	111.77	4.91	0.07	0.03	0.04
P779	00:00:00	524.49	203.00	87.91	5.38	0.17	0.40	0.06
P780	00:00:00	153.56	203.00	104.95	5.43e-03	1.68e-04	1.33e-09	1.89e-04
P781	00:00:00	130.18	152.00	90.91	3.88	0.21	0.83	0.05
P783	00:00:00	674.96	203.00	115.08	6.58	0.20	0.35	0.03
P784	00:00:00	88.96	102.00	98.43	0.25	0.03	0.03	0.07
P785	00:00:00	184.71	102.00	89.65	0.58	0.07	0.18	0.07
P786	00:00:00	166.27	203.00	110.00	6.68	0.21	0.39	0.04
P787	00:00:00	127.08	102.00	130.12	21.13	2.59	69.02	0.02
P788	00:00:00	107.85	152.00	113.91	28.57	1.57	22.13	0.03
P789	00:00:00	285.95	203.00	74.97	12.95	0.40	2.71	0.07
P791	00:00:00	82.50	152.00	115.95	29.73	1.64	23.04	0.03
P794	00:00:00	39.04	203.00	123.95	4.03	0.12	0.12	0.03
P795	00:00:00	129.41	203.00	97.78	3.22	0.10	0.13	0.05
P796	00:00:00	22.42	203.00	89.88	33.93	1.05	11.52	0.04
P797	00:00:00	21.64	102.00	117.05	0.70	0.09	0.15	0.04
P798	00:00:00	684.07	203.00	116.09	2.88	0.09	0.07	0.04
P8	00:00:00	11.35	406.00	76.08	25.65	0.20	0.32	0.06
P800	00:00:00	15.93	203.00	109.67	1.06	0.03	0.01	0.05
P801	00:00:00	9.47	203.00	104.47	0.14	4.38e-03	3.43e-04	0.07
P804	00:00:00	68.27	102.00	103.01	1.89	0.23	1.21	0.05
P805	00:00:00	96.57	152.00	114.56	2.29	0.13	0.20	0.04
P806	00:00:00	32.51	152.00	103.90	2.51	0.14	0.29	0.05
P807	00:00:00	162.82	203.00	100.15	0.17	5.38e-03	5.42e-04	0.07
P808	00:00:00	253.47	203.00	92.06	12.70	0.39	1.78	0.05
P809	00:00:00	17.35	102.00	109.35	0.87	0.11	0.26	0.05
P810	00:00:00	64.30	203.00	88.94	7.57e-08	2.34e-09	1.97e-11	0.00
P811	00:00:00	50.17	102.00	89.57	1.43	0.18	0.94	0.06
P813	00:00:00	30.85	152.00	76.04	15.68	0.86	15.33	0.06
P815	00:00:00	50.52	102.00	84.34	17.55	2.15	108.89	0.05
P817	00:00:00	253.30	203.00	72.66	7.88	0.24	1.14	0.08
P819	00:00:00	8.02	203.00	105.07	8.10	0.25	0.61	0.04
P821	00:00:00	64.78	102.00	83.95	0.13	0.02	0.01	0.10
P822	00:00:00	11.71	102.00	99.59	0.90	0.11	0.33	0.05
P823	00:00:00	18.84	76.00	113.36	0.25	0.05	0.10	0.05
P826	00:00:00	335.29	76.00	99.15	0.57	0.13	0.60	0.06
P827	00:00:00	119.07	76.00	103.74	0.05	0.01	5.96e-03	0.07
P83	00:00:00	15.14	610.00	75.66	192.64	0.66	1.86	0.05
P830	00:00:00	89.30	76.00	99.04	0.58	0.13	0.62	0.06
P831	00:00:00	62.20	76.00	86.29	2.73	0.60	14.00	0.06
P84	00:00:00	148.63	203.00	97.41	0.35	0.01	2.10e-03	0.07
P840	00:00:00	235.28	203.00	97.77	14.03	0.43	1.91	0.04
P841	00:00:00	347.83	76.00	93.68	1.19	0.26	2.56	0.06
P842	00:00:00	64.41	52.00	95.52	1.77	0.84	33.13	0.05
P844	00:00:00	12.49	102.00	113.81	3.41	0.42	3.02	0.03
P846	00:00:00	94.84	203.00	103.98	2.57	0.08	0.07	0.05
P847	00:00:00	68.63	152.00	91.07	2.80	0.15	0.45	0.06
P85	00:00:00	36.60	76.00	69.93	0.53	0.12	0.99	0.11
P850	00:00:00	241.13	101.60	112.53	2.79	0.34	2.17	0.04
P851	00:00:00	228.78	76.00	121.93	1.39	0.31	2.12	0.03
P852	00:00:00	40.39	203.00	105.38	4.39	0.14	0.19	0.04
P853	00:00:00	295.68	203.00	118.65	18.45	0.57	2.23	0.03
P855	00:00:00	37.88	102.00	114.85	0.49	0.06	0.08	0.05
P858	00:00:00	195.38	102.00	113.41	0.82	0.10	0.22	0.04
P859	00:00:00	90.81	152.00	95.29	3.46	0.19	0.62	0.05
P86	00:00:00	161.00	305.00	110.50	36.30	0.50	1.23	0.03
P861	00:00:00	110.79	152.00	87.94	0.59	0.03	0.03	0.08
P866	00:00:00	17.37	102.00	92.17	0.97	0.12	0.43	0.06
P87	00:00:00	80.03	203.00	76.40	3.96	0.12	0.29	0.08
P871	00:00:00	48.15	102.00	91.81	0.42	0.05	0.09	0.07
P880	00:00:00	112.84	76.00	86.03	0.31	0.07	0.25	0.08
P889	00:00:00	15.72	203.00	88.74	1.65	0.05	0.04	0.07
P89	00:00:00	104.30	152.00	78.43	1.46	0.08	0.18	0.08
P892	00:00:00	30.39	254.00	69.85	106.42	2.10	51.26	0.06
P9	00:00:00	49.95	254.00	66.75	42.66	0.84	10.25	0.07
P90	00:00:00	98.94	102.00	62.32	1.30	0.16	1.55	0.12
P91	00:00:00	572.34	102.00	94.34	0.31	0.04	0.05	0.07
P914	00:00:00	38.61	203.00	91.18	5.43e-03	1.68e-04	3.83e-09	5.42e-04
P915	00:00:00	10.58	152.00	72.77	17.72	0.98	20.87	0.07
P92	00:00:00	63.12	203.00	83.11	1.20	0.04	0.03	0.08
P924	00:00:00	82.38	254.00	74.46	1.24	0.02	0.01	0.10
P927	00:00:00	348.88	406.00	84.53	0.05	4.12e-04	2.84e-06	0.13
P929	00:00:00	83.31	203.00	90.08	1.69e-08	5.23e-10	6.86e-11	0.00
P930	00:00:00	78.95	203.00	88.20	5.99e-08	1.85e-09	2.00e-11	0.00
P931	00:00:00	248.40	203.00	87.08	5.43e-03	1.68e-04	4.17e-09	5.90e-04
P932	00:00:00	381.56	203.00	84.96	5.43e-03	1.68e-04	1.97e-09	2.79e-04
